AoA_deg_Used,AoS_deg,delta_El_L,delta_Rud_R,CLL_body
12,-10,20,10,0.098875693
16,-10,20,10,0.118154336
20,-10,20,10,0.117876916
30,-10,20,10,0.004503013
45,-10,20,10,0.048512023
-4,-10,20,20,0.014832864
0,-10,20,20,0.03276534
4,-10,20,20,0.052336849
8,-10,20,20,0.075650744
12,-10,20,20,0.10037959
16,-10,20,20,0.121408218
20,-10,20,20,0.142763793
30,-10,20,20,0.001292179
45,-10,20,20,0.051033764
-4,-10,20,-10,-0.003712412
0,-10,20,-10,0.013406042
4,-10,20,-10,0.031462229
8,-10,20,-10,0.052495775
12,-10,20,-10,0.074049047
16,-10,20,-10,0.095180526
20,-10,20,-10,0.10873244
30,-10,20,-10,-0.004745572
45,-10,20,-10,0.047428546
-4,-10,20,-20,-0.010380033
0,-10,20,-20,0.007477201
4,-10,20,-20,0.024807105
8,-10,20,-20,0.046598528
12,-10,20,-20,0.068771013
16,-10,20,-20,0.089219643
20,-10,20,-20,0.097412766
30,-10,20,-20,-0.010340171
45,-10,20,-20,0.044849483
-4,-10,-10,0,0.003048373
0,-10,-10,0,0.019746599
4,-10,-10,0,0.037213824
8,-10,-10,0,0.058760647
12,-10,-10,0,0.077022408
16,-10,-10,0,0.088731977
20,-10,-10,0,0.11320584
30,-10,-10,0,0.066050825
45,-10,-10,0,0.054556614
-4,-10,-10,10,0.018123345
0,-10,-10,10,0.034975444
4,-10,-10,10,0.053295213
8,-10,-10,10,0.075687216
12,-10,-10,10,0.094899984
16,-10,-10,10,0.108444683
20,-10,-10,10,0.129478424
30,-10,-10,10,0.073057812
45,-10,-10,10,0.053067355
-4,-10,-10,20,0.031577249
0,-10,-10,20,0.049134276
4,-10,-10,20,0.067569596
8,-10,-10,20,0.088398677
12,-10,-10,20,0.105846615
16,-10,-10,20,0.114392169
20,-10,-10,20,0.138886964
30,-10,-10,20,0.09051366
45,-10,-10,20,0.057552121
-4,-10,-10,-10,-0.006369003
0,-10,-10,-10,0.008954683
4,-10,-10,-10,0.026219565
8,-10,-10,-10,0.048035089
12,-10,-10,-10,0.067342019
16,-10,-10,-10,0.083490239
20,-10,-10,-10,0.106025709
30,-10,-10,-10,0.046462127
45,-10,-10,-10,0.052659206
-4,-10,-10,-20,-0.016684336
0,-10,-10,-20,-0.002036526
4,-10,-10,-20,0.015125431
8,-10,-10,-20,0.038220752
12,-10,-10,-20,0.061663769
16,-10,-10,-20,0.078060055
20,-10,-10,-20,0.099657672
30,-10,-10,-20,0.039501359
45,-10,-10,-20,0.050803612
-4,-10,-20,0,0.003299246
0,-10,-20,0,0.020838081
4,-10,-20,0,0.036574447
8,-10,-20,0,0.058863366
12,-10,-20,0,0.081263696
16,-10,-20,0,0.095196979
20,-10,-20,0,0.117212365
30,-10,-20,0,0.082988678
45,-10,-20,0,0.054588586
-4,-10,-20,10,0.022807337
0,-10,-20,10,0.039128735
4,-10,-20,10,0.057865635
8,-10,-20,10,0.081358489
12,-10,-20,10,0.103776812
16,-10,-20,10,0.117918568
20,-10,-20,10,0.13511932
30,-10,-20,10,0.098170594
45,-10,-20,10,0.053146979
-4,-10,-20,20,0.040334169
0,-10,-20,20,0.055744095
4,-10,-20,20,0.073568651
8,-10,-20,20,0.095841501
12,-10,-20,20,0.116792562
16,-10,-20,20,0.128150619
20,-10,-20,20,0.14729905
30,-10,-20,20,0.116370966
45,-10,-20,20,0.058375348
-4,-10,-20,-10,-0.01094181
0,-10,-20,-10,0.003504789
4,-10,-20,-10,0.020418929
8,-10,-20,-10,0.043378667
12,-10,-20,-10,0.068411984
16,-10,-20,-10,0.088045345
20,-10,-20,-10,0.110073932
30,-10,-20,-10,0.07391467
45,-10,-20,-10,0.053539622
-4,-10,-20,-20,-0.024575491
0,-10,-20,-20,-0.009863748
4,-10,-20,-20,0.005278855
8,-10,-20,-20,0.02985278
12,-10,-20,-20,0.056522186
16,-10,-20,-20,0.078790973
20,-10,-20,-20,0.099257225
30,-10,-20,-20,0.064117655
45,-10,-20,-20,0.052479193
-4,-20,0,0,0.01020115
0,-20,0,0,0.041050627
4,-20,0,0,0.074943633
8,-20,0,0,0.110457371
12,-20,0,0,0.146052422
16,-20,0,0,0.155905091
20,-20,0,0,0.153655076
